Language Task Size Select_interval Select_size Actual_duration Model Metric Value Method
Korean asr 15 15 510 521.8 wav2vec2-large-xlsr-53 cer 0.08820692248581659 al
Korean asr 15 15 525 536.69 wav2vec2-large-xlsr-53 wer 0.2678231271273772 al
Korean asr 15 15 525 536.69 wav2vec2-large-xlsr-53 cer 0.08435246799535667 al
Korean asr 15 15 540 551.61 wav2vec2-large-xlsr-53 wer 0.2634824969553134 al
Korean asr 15 15 540 551.61 wav2vec2-large-xlsr-53 cer 0.08333878325131207 al
Korean asr 15 15 555 566.49 wav2vec2-large-xlsr-53 wer 0.31552321768728725 al
Korean asr 15 15 555 566.49 wav2vec2-large-xlsr-53 cer 0.10137664928142831 al
Korean asr 15 15 570 581.43 wav2vec2-large-xlsr-53 wer 0.26693314180432814 al
Korean asr 15 15 570 581.43 wav2vec2-large-xlsr-53 cer 0.0840499975475369 al
Korean asr 15 15 585 596.31 wav2vec2-large-xlsr-53 wer 0.23742310214533305 al
Korean asr 15 15 585 596.31 wav2vec2-large-xlsr-53 cer 0.07412978434674558 al
Korean asr 15 15 600 611.29 wav2vec2-large-xlsr-53 wer 0.24277862786122476 al
Korean asr 15 15 600 611.29 wav2vec2-large-xlsr-53 cer 0.07530696663015221 al
Korean asr 15 15 615 626.16 wav2vec2-large-xlsr-53 wer 0.24106111232551602 al
Korean asr 15 15 615 626.16 wav2vec2-large-xlsr-53 cer 0.07572797279400945 al
Korean asr 15 15 630 641.07 wav2vec2-large-xlsr-53 wer 0.22747712581581989 al
Korean asr 15 15 630 641.07 wav2vec2-large-xlsr-53 cer 0.07111325474551608 al
Korean asr 15 15 645 655.91 wav2vec2-large-xlsr-53 wer 0.2103331980139275 al
Korean asr 15 15 645 655.91 wav2vec2-large-xlsr-53 cer 0.0651782940666743 al
Korean asr 15 15 660 670.78 wav2vec2-large-xlsr-53 wer 0.23523717328170377 al
Korean asr 15 15 660 670.78 wav2vec2-large-xlsr-53 cer 0.07334499615780783 al
Korean asr 15 15 675 685.77 wav2vec2-large-xlsr-53 wer 0.2172813290447491 al
Korean asr 15 15 675 685.77 wav2vec2-large-xlsr-53 cer 0.06656802315125157 al
Korean asr 15 15 690 700.69 wav2vec2-large-xlsr-53 wer 0.19882584392467914 al
Korean asr 15 15 690 700.69 wav2vec2-large-xlsr-53 cer 0.062055491064859476 al
Korean asr 15 15 705 715.61 wav2vec2-large-xlsr-53 wer 0.19614027417793461 al
Korean asr 15 15 705 715.61 wav2vec2-large-xlsr-53 cer 0.0606902866111865 al
Korean asr 15 15 720 730.48 wav2vec2-large-xlsr-53 wer 0.18813040627049307 al
Korean asr 15 15 720 730.48 wav2vec2-large-xlsr-53 cer 0.05724457596913166 al
Korean asr 15 15 735 745.36 wav2vec2-large-xlsr-53 wer 0.2574555788027355 al
Korean asr 15 15 735 745.36 wav2vec2-large-xlsr-53 cer 0.08065333616729069 al
Korean asr 15 15 750 760.3 wav2vec2-large-xlsr-53 wer 0.1743590544296287 al
